,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,_ENSTGUG00000006533.2,7.579041160946369,-1.7151816935432718,0.21978022649873946,46.6459157067136,8.504404688922518e-12,2.525808192609988e-09,_ENSTGUG00000006533.2,radial glia 2,10
1,VIM_ENSTGUG00000001298.2,18.710795078607163,-1.075057162568848,0.14438031653362807,46.6745385818715,8.381090178926411e-12,1.0040506158143974e-09,VIM_ENSTGUG00000001298.2,radial glia 2,10
2,CLU_ENSTGUG00000028547.1,7.850111858970827,-1.1052239430486768,0.17218422096888095,34.30251776362593,4.7177104442015615e-09,2.653712124863379e-07,CLU_ENSTGUG00000028547.1,radial glia 2,10
3,SLC1A3_ENSTGUG00000002032.2,13.042661437128814,-0.7988855982937809,0.13133424330422974,33.09912104249429,8.757830270608005e-09,3.9410236217736013e-07,SLC1A3_ENSTGUG00000002032.2,radial glia 2,10
4,_ENSTGUG00000006533.2,8.294372964585888,-1.6875217722371758,0.23108561476857695,37.315165413098384,1.0050004093952517e-09,7.537503070464386e-08,_ENSTGUG00000006533.2,radial glia 2,10
5,_ENSTGUG00000021879.1,8.748921067092855,-5.050588290279523,0.5385646544013449,46.551345643591844,8.924894362794644e-12,1.0040506158143974e-09,_ENSTGUG00000021879.1,radial glia 2,10
6,VIM_ENSTGUG00000001298.2,17.557964303092934,-0.9660327525475344,0.14367439338653254,38.461557242112114,5.584290267321326e-10,5.528447364648113e-08,VIM_ENSTGUG00000001298.2,radial glia 2,10
7,CLU_ENSTGUG00000028547.1,7.9041808931113025,-1.10698380057393,0.1614470962961913,40.58006000434011,1.8872274689328764e-10,2.8025327913653213e-08,CLU_ENSTGUG00000028547.1,radial glia 2,10
8,_ENSTGUG00000006533.2,7.860034466736303,-1.5528374125504345,0.2251020498566516,35.080019196056355,3.1643103312614594e-09,2.3495004209616327e-07,_ENSTGUG00000006533.2,radial glia 2,10
9,_ENSTGUG00000021879.1,7.7358807924447825,-4.958631744715237,0.5335615746194715,44.94699773978459,2.024403496945162e-11,6.012478385927131e-09,_ENSTGUG00000021879.1,radial glia 2,10
10,VIM_ENSTGUG00000001298.2,16.73883852976146,-1.039338589897405,0.14586700564562785,43.24789617259489,4.822559722204554e-11,6.148763645810806e-09,VIM_ENSTGUG00000001298.2,radial glia 2,10
11,SLC1A3_ENSTGUG00000002032.2,13.801712918315037,-0.9768940835610186,0.13951742619495558,42.72311943832847,6.306253364878702e-11,6.432378432176276e-09,SLC1A3_ENSTGUG00000002032.2,radial glia 2,10
12,MT4_ENSTGUG00000006540.2,7.150185922099621,-1.7685936894802483,0.22554035005756176,46.23602503607276,1.0483161564325156e-11,1.8166367151195369e-09,MT4_ENSTGUG00000006540.2,radial glia 2,10
13,_ENSTGUG00000006533.2,8.178920732264388,-1.922117420731604,0.2369690108338789,46.198459238413754,1.0686098324232572e-11,1.8166367151195369e-09,_ENSTGUG00000006533.2,radial glia 2,10
14,_ENSTGUG00000021879.1,5.722953859610247,-5.349515314387159,0.6004421920612922,53.36704900097004,2.76699368907032e-13,1.4111667814258638e-10,_ENSTGUG00000021879.1,radial glia 2,10
15,VIM_ENSTGUG00000001298.2,18.66649123525887,-1.1336636226548562,0.1362713202228192,59.93101213632917,9.8241217755419e-15,2.210427399496928e-12,VIM_ENSTGUG00000001298.2,radial glia 2,10
16,CLU_ENSTGUG00000028547.1,7.608348811245512,-1.0092607204754764,0.1593385564516828,35.10477678765982,3.1243345028134405e-09,1.7574381578325606e-07,CLU_ENSTGUG00000028547.1,radial glia 2,10
17,_ENSTGUG00000006533.2,8.300496616165209,-1.8120586538824963,0.20917160692447007,58.118425666413934,2.468038003302973e-14,2.776542753715844e-12,_ENSTGUG00000006533.2,radial glia 2,10
18,_ENSTGUG00000021879.1,7.648272311717752,-4.977268279198052,0.5411350114506243,47.51563806313232,5.456690656570005e-12,4.092517992427504e-10,_ENSTGUG00000021879.1,radial glia 2,10
19,VIM_ENSTGUG00000001298.2,19.62385969964974,-1.1076544099843049,0.1175716603840518,80.37603568978193,3.095263819303152e-19,6.964343593432092e-17,VIM_ENSTGUG00000001298.2,radial glia 2,10
20,_ENSTGUG00000006533.2,8.556577450915027,-1.58138463317155,0.20713441715274836,45.0514059140462,1.9192941786636328e-11,1.4394706339977247e-09,_ENSTGUG00000006533.2,radial glia 2,10
21,_ENSTGUG00000021879.1,9.647769597025803,-6.006995806742211,0.601416567364776,62.48120142931271,2.690000905615789e-15,3.0262510188177626e-13,_ENSTGUG00000021879.1,radial glia 2,10
22,ISYNA1_ENSTGUG00000029076.1,2.318933369850959,-2.2737183223176256,0.3464491024158785,31.901059760040308,1.622286218741106e-08,9.12535998041872e-07,ISYNA1_ENSTGUG00000029076.1,radial glia 2,10
23,VIM_ENSTGUG00000001298.2,17.351127007493652,-0.9167497912750856,0.13629117749277134,39.31995557211826,3.5974583348786636e-10,8.094281253476992e-08,VIM_ENSTGUG00000001298.2,radial glia 2,10
24,CLU_ENSTGUG00000028547.1,7.804830008239858,-0.8729542064245972,0.14330131301472265,33.726830573200914,6.3419908677613605e-09,4.75649315082102e-07,CLU_ENSTGUG00000028547.1,radial glia 2,10
25,_ENSTGUG00000021879.1,5.455501368164847,-4.0062166412592735,0.5008161843384253,35.561608078360216,2.471100793716763e-09,2.7799883929313587e-07,_ENSTGUG00000021879.1,radial glia 2,10
26,VIM_ENSTGUG00000001298.2,17.16133727679409,-1.0734629827300646,0.14411591855393915,47.32397691283746,6.017167014984546e-12,1.8733446639985213e-09,VIM_ENSTGUG00000001298.2,radial glia 2,10
27,CLU_ENSTGUG00000028547.1,7.0634138929951575,-1.0774706005770902,0.16808494171280858,35.314356607650105,2.80556308118097e-09,5.240791835646052e-07,CLU_ENSTGUG00000028547.1,radial glia 2,10
28,SLC1A3_ENSTGUG00000002032.2,12.698676358089106,-0.8979570738963688,0.13693269254974552,37.88647038200747,7.498344860645434e-10,1.750863524960709e-07,SLC1A3_ENSTGUG00000002032.2,radial glia 2,10
29,_ENSTGUG00000006533.2,8.357300168744606,-1.7251293719190952,0.21595587174465372,48.917259879247005,2.669909072588939e-12,1.2468475368990346e-09,_ENSTGUG00000006533.2,radial glia 2,10
30,_ENSTGUG00000021879.1,7.699418489610298,-4.500973670719791,0.4582864619390266,58.55410223159197,1.9777686680777292e-14,1.8472359359845988e-11,_ENSTGUG00000021879.1,radial glia 2,10
31,_ENSTGUG00000021879.1,7.979965833070925,-5.640567660808195,0.5948200864765268,49.39873755103236,2.0888002268216184e-12,4.69980051034864e-10,_ENSTGUG00000021879.1,radial glia 2,10
32,VIM_ENSTGUG00000001298.2,19.015117005963702,-1.1155994838275705,0.15596346189620125,41.67505457674042,1.077753609783747e-10,7.948432872155134e-09,VIM_ENSTGUG00000001298.2,radial glia 2,10
33,CLU_ENSTGUG00000028547.1,8.12304850954653,-1.2262879284159618,0.15682835386860255,54.07429901739897,1.9304991667234202e-13,2.8474862709170453e-11,CLU_ENSTGUG00000028547.1,radial glia 2,10
34,MT4_ENSTGUG00000006540.2,6.814830492191478,-1.6355411356501248,0.234438854455156,35.24573465922469,2.906178962013594e-09,1.7146455875880204e-07,MT4_ENSTGUG00000006540.2,radial glia 2,10
35,_ENSTGUG00000006533.2,8.52502957174673,-1.904167965159279,0.21248502309898776,62.966255279942295,2.1027846056740128e-15,6.203214586738337e-13,_ENSTGUG00000006533.2,radial glia 2,10
36,_ENSTGUG00000021879.1,8.941963116940169,-6.49526289476709,0.6825877840584959,46.107769915253925,1.1192369379972704e-11,1.1005829890306494e-09,_ENSTGUG00000021879.1,radial glia 2,10
